session_id,processor,department,timestamp,ref,bin,output_metric,classification
SA-0067,Nora.K,MDR,2025-12-08T13:00:00,BL-E218,BL,461.77,beta
SA-0067,Nora.K,MDR,2025-12-08T13:00:00,GR-E219,GR,496.13,beta
SA-0067,Nora.K,MDR,2025-12-08T13:00:00,AX-E220,AX,358.44,gamma
SA-0067,Nora.K,MDR,2025-12-08T13:00:00,GR-E221,GR,22.09,beta
SA-0067,Nora.K,MDR,2025-12-08T13:00:00,AX-E222,AX,265.33,alpha
SA-0067,Nora.K,MDR,2025-12-08T13:00:00,BL-E223,BL,207.67,delta
SA-0067,Nora.K,MDR,2025-12-08T13:00:00,BL-E224,BL,314.67,gamma
SA-0067,Nora.K,MDR,2025-12-08T13:00:00,BL-E225,BL,34.95,alpha
SA-0067,Nora.K,MDR,2025-12-08T13:00:00,BL-E226,BL,381.66,delta
SA-0067,Nora.K,MDR,2025-12-08T13:00:00,AX-E227,AX,27.72,alpha
SA-0067,Nora.K,MDR,2025-12-08T13:00:00,GR-E228,GR,467.14,delta
