session_id,processor,department,timestamp,ref,bin,output_metric,classification
SA-0070,Cross.R,SA,2025-11-25T15:17:00,BL-E243,BL,486.65,delta
SA-0070,Cross.R,SA,2025-11-25T15:17:00,SP-E244,SP,476.53,gamma
SA-0070,Cross.R,SA,2025-11-25T15:17:00,BL-E245,BL,62.18,beta
SA-0070,Cross.R,SA,2025-11-25T15:17:00,SP-E246,SP,423.8,beta
SA-0070,Cross.R,SA,2025-11-25T15:17:00,SP-E247,SP,237.53,beta
SA-0070,Cross.R,SA,2025-11-25T15:17:00,SP-E248,SP,351.72,gamma
SA-0070,Cross.R,SA,2025-11-25T15:17:00,BL-E249,BL,373.84,delta
SA-0070,Cross.R,SA,2025-11-25T15:17:00,BL-E250,BL,156.55,beta
SA-0070,Cross.R,SA,2025-11-25T15:17:00,SP-E251,SP,315.3,alpha
SA-0070,Cross.R,SA,2025-11-25T15:17:00,BL-E252,BL,463.8,alpha
SA-0070,Cross.R,SA,2025-11-25T15:17:00,BL-E253,BL,208.9,delta
SA-0070,Cross.R,SA,2025-11-25T15:17:00,SP-E254,SP,212.97,alpha
SA-0070,Cross.R,SA,2025-11-25T15:17:00,BL-E255,BL,469.42,alpha
SA-0070,Cross.R,SA,2025-11-25T15:17:00,BL-E256,BL,125.48,delta
