session_id,processor,department,timestamp,ref,bin,output_metric,classification
SA-0046,Dr.Voss,WB,2025-10-17T08:28:00,AX-F360,AX,405.6,alpha
SA-0046,Dr.Voss,WB,2025-10-17T08:28:00,GR-F361,GR,232.66,alpha
SA-0046,Dr.Voss,WB,2025-10-17T08:28:00,AX-F362,AX,152.76,alpha
SA-0046,Dr.Voss,WB,2025-10-17T08:28:00,GR-F363,GR,303.15,gamma
SA-0046,Dr.Voss,WB,2025-10-17T08:28:00,GR-F364,GR,298.0,gamma
SA-0046,Dr.Voss,WB,2025-10-17T08:28:00,AX-F365,AX,97.32,gamma
SA-0046,Dr.Voss,WB,2025-10-17T08:28:00,GR-F366,GR,252.06,beta
SA-0046,Dr.Voss,WB,2025-10-17T08:28:00,GR-F367,GR,79.63,delta
SA-0046,Dr.Voss,WB,2025-10-17T08:28:00,AX-F368,AX,376.73,beta
SA-0046,Dr.Voss,WB,2025-10-17T08:28:00,GR-F369,GR,283.2,beta
